"Row","Date","Rt_medio"
"371",2021-02-08,1.03631180414175
"372",2021-02-09,1.0282544213376
"373",2021-02-10,1.03537902680844
"374",2021-02-11,1.02698004065329
"375",2021-02-12,1.01881676311829
"376",2021-02-13,1.00441281229407
"377",2021-02-14,1.00457273334333
"378",2021-02-15,1.01848349504769
"379",2021-02-16,1.0388350415193
"380",2021-02-17,1.06011386299957
"381",2021-02-18,1.10327776654167
"382",2021-02-19,1.13906828558763
"383",2021-02-20,1.19129514606753
"384",2021-02-21,1.2192264181031
"385",2021-02-22,1.25432955652232
"386",2021-02-23,1.26894625349088
"387",2021-02-24,1.26791614516022
"388",2021-02-25,1.25209112054025
"389",2021-02-26,1.2442873667422
"390",2021-02-27,1.21586967470076
"391",2021-02-28,1.19385043183326
"392",2021-03-01,1.21586585497226
"393",2021-03-02,1.21328067010269
