"Row","Date","R_medio","R_Quantile0.025","R_Quantile0.975"
"279",2020-11-08,1.08884299567779,1.08206645042557,1.09564040224758
"280",2020-11-09,1.0629693819993,1.05633207827925,1.06962718588406
"281",2020-11-10,1.05882124265113,1.05224209678909,1.06542060960252
"282",2020-11-11,1.03116066547996,1.02470565272733,1.03763566607897
"283",2020-11-12,1.00824898903399,1.00189315608936,1.0146246411153
"284",2020-11-13,0.988890749961154,0.982612889263809,0.99518832545091
"285",2020-11-14,0.975372368470799,0.969144692173156,0.981619714872336
"286",2020-11-15,0.966348960369207,0.960149471478364,0.972568124017454
"287",2020-11-16,0.943100200367095,0.936969195962709,0.949250922434278
"288",2020-11-17,0.90591186076199,0.899888368303099,0.911955168159284
"289",2020-11-18,0.895337382520183,0.889322024931347,0.901372735645867
"290",2020-11-19,0.868086330739787,0.862128036719352,0.87406486003477
"291",2020-11-20,0.852773318284245,0.846822123677177,0.858745063638506
"292",2020-11-21,0.825472234310485,0.819563136409886,0.831402265215134
"293",2020-11-22,0.799433705529433,0.793554331513106,0.805334479537715
"294",2020-11-23,0.781242545815541,0.775354888126611,0.78715216552524
"295",2020-11-24,0.774612894573441,0.768663875087677,0.780584529763641
"296",2020-11-25,0.76663632439947,0.760623790458664,0.772672201779148
"297",2020-11-26,0.774904399390893,0.768757297198592,0.781075642362473
"298",2020-11-27,0.768346792752099,0.76212101925808,0.774597542343105
"299",2020-11-28,0.788023159395382,0.781607389046575,0.794464791751211
"300",2020-11-29,0.795346817420677,0.788791595703386,0.801928790349434
"301",2020-11-30,0.809240331474043,0.802518950339993,0.815989355184749
"302",2020-12-01,0.849099805687973,0.842106446699232,0.856121683847346
"303",2020-12-02,0.86592640541601,0.858766787866146,0.873115333892279
"304",2020-12-03,0.881860599197196,0.87454748958477,0.889203737778878
"305",2020-12-04,0.896984349704759,0.889529756926505,0.90446961878781
"306",2020-12-05,0.903079998787977,0.895530066360583,0.910661185577389
"307",2020-12-06,0.917266835014019,0.909593609732118,0.924971844551321
"308",2020-12-07,0.914709040465535,0.906989916644535,0.922460421046872
"309",2020-12-08,0.884916074102465,0.877271202174462,0.892593653672684
"310",2020-12-09,0.891739586586198,0.884005211078355,0.899507184474446
"311",2020-12-10,0.91000815291226,0.902132695884042,0.917917363565207
"312",2020-12-11,0.9081575553007,0.900232418654276,0.916116943644148
"313",2020-12-12,0.920951953783386,0.912914207244952,0.929024442867797
"314",2020-12-13,0.937103859824466,0.928942964358421,0.945299952951247
"315",2020-12-14,0.956340909992024,0.948050290733383,0.964667123396577
"316",2020-12-15,0.978504290337337,0.970080779103941,0.986963712603151
"317",2020-12-16,0.976965504517524,0.968523189720757,0.985443948255853
"318",2020-12-17,0.964112516926916,0.955706094637783,0.972555240575623
"319",2020-12-18,0.972396325735124,0.963932684787366,0.980896450143731
"320",2020-12-19,0.971582333783397,0.963103545392774,0.980097767433128
"321",2020-12-20,0.997994262179985,0.989382635272333,1.00664268936315
"322",2020-12-21,0.995812370047744,0.987201067547825,1.00446055101684
"323",2020-12-22,1.00524197062368,0.996584268581027,1.01393659930923
"324",2020-12-23,1.02088511573041,1.01215946177893,1.02964770230522
"325",2020-12-24,1.04744116613338,1.03860939322979,1.0563098140613
"326",2020-12-25,1.04383931878119,1.03504191216461,1.05267344018544
"327",2020-12-26,1.06439670577919,1.05553689630031,1.07329303167204
"328",2020-12-27,1.08218148603009,1.07328124470321,1.09111797042028
"329",2020-12-28,1.12062881179416,1.11161576294413,1.12967774985902
"330",2020-12-29,1.12385112500085,1.11488671968118,1.13285093023155
"331",2020-12-30,1.12015614440549,1.11127673876332,1.12907039553359
"332",2020-12-31,1.10384361197871,1.09510174911389,1.11261974815908
"333",2021-01-01,1.11572180223575,1.1070019226657,1.1244754181732
"334",2021-01-02,1.10717333264417,1.09855765365744,1.11582220026539
"335",2021-01-03,1.08191272243987,1.07346373662,1.09039437071824
"336",2021-01-04,1.05846380349547,1.05016513647688,1.06679467966558
"337",2021-01-05,1.0469018792809,1.03869543985537,1.05514016375013
"338",2021-01-06,1.0125769497303,1.00454379767369,1.02064165202379
"339",2021-01-07,0.99380117168984,0.985865809827991,1.00176790277416
"340",2021-01-08,0.963480607743024,0.955677975450686,0.971314524848808
"341",2021-01-09,0.92983586166834,0.922166816199368,0.937536225771205
"342",2021-01-10,0.902736153246473,0.895159406327476,0.910344389432578
"343",2021-01-11,0.858921955925128,0.851496225893375,0.866379479348824
"344",2021-01-12,0.825256100867597,0.817922913568737,0.832621562773972
"345",2021-01-13,0.815216028935947,0.807853560517115,0.822611433267706
"346",2021-01-14,0.800907921690022,0.793523444132506,0.808326127453504
"347",2021-01-15,0.798167196418866,0.79069629418432,0.805672741910743
"348",2021-01-16,0.80127440767555,0.793681424146428,0.808903039206252
"349",2021-01-17,0.80146433232128,0.79375833488957,0.809207040652452
"350",2021-01-18,0.813692678239386,0.805811480642517,0.821611699258561
"351",2021-01-19,0.83138148747838,0.823297932706338,0.839503987032451
"352",2021-01-20,0.86544278119097,0.857080587830125,0.873845008995555
"353",2021-01-21,0.883983186974191,0.87542902436131,0.892578364885779
"354",2021-01-22,0.90421462581908,0.895471307195791,0.912999834830272
"355",2021-01-23,0.931469147586848,0.922514787048366,0.940466158397675
"356",2021-01-24,0.954026773105097,0.944899475512965,0.963197335532058
"357",2021-01-25,0.96877683635067,0.959529710563371,0.978067693824978
"358",2021-01-26,0.973275033138253,0.96397036035633,0.982623779295815
"359",2021-01-27,0.965476620828484,0.956181995767865,0.974815580826867
"360",2021-01-28,0.972676338993738,0.963321447297973,0.982075809788107
"361",2021-01-29,0.96615630556072,0.956811190382541,0.975546208139811
"362",2021-01-30,0.958020879984805,0.948693341299748,0.967393418083463
"363",2021-01-31,0.952640833176388,0.94331490156382,0.96201200394362
"364",2021-02-01,0.978304428269593,0.968825134196453,0.987829233260196
"365",2021-02-02,0.993896966026029,0.984321209731186,1.00351843435575
"366",2021-02-03,1.00738588631493,0.997732982799717,1.01708461820943
"367",2021-02-04,1.0147631458694,1.00507177299162,1.02450037657669
"368",2021-02-05,1.02993119632406,1.02017165913087,1.03973655210834
"369",2021-02-06,1.0457576416835,1.03593666807425,1.0556243084598
"370",2021-02-07,1.05619426404178,1.04634808041682,1.06608592033056
"371",2021-02-08,1.03631180414175,1.02659116384409,1.04607761652042
"372",2021-02-09,1.0282544213376,1.01860093444817,1.03795280761316
"373",2021-02-10,1.03537902680844,1.02571757432834,1.04508514206962
"374",2021-02-11,1.02698004065329,1.01738419979639,1.03662030033194
"375",2021-02-12,1.01881676311829,1.00928263535632,1.02839509186067
"376",2021-02-13,1.00441281229407,0.99496565021405,1.01390399607491
"377",2021-02-14,1.00457273334333,0.995137017512636,1.01405235699311
"378",2021-02-15,1.01848349504769,1.00899155339149,1.02801926089348
"379",2021-02-16,1.0388350415193,1.02926077212117,1.04845302286538
