beta,n
12619158.65818662,9606
13132646.504061067,8144
13558229.069496628,6830
14179295.82305889,4516
14511032.306758337,2260
14927978.118030654,5402
15101010.042577146,5491
15087807.271409169,8192
14898555.630160589,12324
14804787.414602933,15475
14465832.139990287,11952
14203003.480207253,8217
14463970.415360048,24527
14432251.203488931,30821
14356837.370944595,42212
14286434.077424876,47316
14281700.334681343,52582
14230679.380043846,39247
14168662.40451603,20438
13827311.682352498,47444
13527130.237246448,49468
13494988.903321734,55042
13273597.27066954,59872
13039442.541377835,61178
12792414.896344764,48540
12595508.317530295,33405
12397656.34945038,70577
12232167.980263203,72695
11901810.591608988,81382
11783519.953652933,79723
11617545.966343012,78948
11617760.286359372,62255
11521356.265984138,45297
11409241.016544832,66097
11420757.616790311,71628
11366066.07852237,86368
11380670.653780106,84571
11320942.215700556,78435
11117753.331379838,67377
11032407.177385438,40883
10853314.5122219,66271
10709933.078084424,76411
10457003.76300181,91057
10377097.070167957,90555
10205852.21654706,79332
10002992.351560196,60941
9791759.716406297,20409
9389505.569445314,38013
9382556.838814475,76339
9593435.123679567,90097
9593236.92418288,89280
9658489.104768459,82238
10004162.444739135,68839
10314330.675551075,41373
10750863.60207484,62552
10771235.043956235,67621
10720670.197930155,80084
10655882.315977277,99107
10745843.802071402,99827
10629048.130441856,84309
10734290.136852404,54362
10725850.42903924,87964
10863855.63111013,97917
11003980.643498039,119258
11121546.821007065,135999
11202043.328794895,130741
11313346.078766285,114673
11262247.508062202,47173
11171564.691950519,82153
10964691.767465664,111663
10751948.044088706,139963
10461030.094531246,174953
10129941.005298894,190248
10021036.509394366,149350
9811192.76434062,117691
9611659.225539023,122138
9473752.929286959,137793
9422975.103753343,146306
9382310.626882646,173953
9386628.029416997,189897
9176831.186539393,187110
9164980.83900707,127233
9029071.666308489,148545
8881938.963529874,156113
8674913.947282422,160057
8590168.48901276,184204
8457570.627523862,203686
8423515.227952685,182105
8349740.705659277,137169
8099424.068102207,194824
8072605.186818654,188338
8009327.003055088,181418
7986010.629737158,243096
7997276.202181037,243855
7970927.8259580005,200543
8061175.720196692,156480
8119766.1971288575,190008
8076457.343005391,210073
8125407.774067094,239764
8184723.590913907,281565
8304801.396495117,271044
8396878.965000391,204924
8434874.126820749,146487
8280483.450434357,152828
8375526.879839781,134218
8367880.866682826,71288
8432422.233671518,131552
8526480.081156127,125934
8670850.59903056,118114
8662638.77481042,81640
8688061.383230269,114045
8470987.346015574,119815
8385970.942984922,121892
8279113.102975918,128644
